
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
heat_conduction.py:168 main           1      0.008637  309.8161  309.8161
..es/scipy/optimize/_root.py:21 root  321    0.003838  307.9037  0.959202
..optimize/minpack.py:181 _root_hybr  321    0.009235  307.8988  0.959186
heat_conduction.py:205 <lambda>       64776  0.207307  305.4750  0.004716
heat_conduction.py:103 assemble       64776  142.0495  305.2677  0.004713
<__array_function__ internals>:2 dot  207..  38.96400  74.34657  0.000004
..femflex/shape.py:5 Shape1DIGA.eval  129..  1.023534  54.66304  0.000421
..-1D/femflex/shape.py:10 <listcomp>  129..  1.269062  48.88536  0.000377
../_bsplines.py:301 BSpline.__call__  175..  13.73624  43.00182  0.000025
..ment/iga-1D/femflex/shape.py:66 f1  583..  4.614477  32.91118  0.000056
.._bsplines.py:348 BSpline._evaluate  175..  12.27263  13.62660  0.000008
..y:27 IntervalMesh.cell_coordinates  415..  13.53835  13.53835  0.000003
..s/numpy/core/multiarray.py:706 dot  207..  11.05733  11.05733  0.000001
../_asarray.py:139 ascontiguousarray  175..  2.119317  4.454706  0.000003
../numpy/core/_asarray.py:14 asarray  188..  2.282052  4.190110  0.000002
..optimize/minpack.py:22 _check_func  321    0.003372  3.244988  0.010109
..:64 Shape1DIGA.get_basis_functions  129..  0.536667  3.141901  0.000024
..y:25 SpaceEnriched1DIGA.cell_basis  415..  2.835237  2.835237  0.000001
...py:22 SpaceEnriched1DIGA.cell_dof  415..  2.436571  2.436571  0.000001
heat_conduction.py:180 lambda_T0      70     0.000428  1.890245  0.027003
heat_conduction.py:76 assemble_init   70     0.095219  1.889739  0.026996
..40 CPUDispatcher._compile_for_args  1      0.000018  1.647091  1.647091
..-1D/femflex/shape.py:71 <listcomp>  129..  0.938781  1.641738  0.000013
..tcher.py:864 CPUDispatcher.compile  18/1   0.000347  1.623871  0.090215
..er.py:78 _FunctionCompiler.compile  2/1    0.000006  1.623427  0.811714
.. _FunctionCompiler._compile_cached  2/1    0.000013  1.623423  0.811712
..00 _FunctionCompiler._compile_core  2/1    0.000104  1.623412  0.811706
..core/compiler.py:580 compile_extra  2/1    0.000013  1.623277  0.811638
..b/cbook/deprecation.py:384 wrapper  110..  0.004965  1.532888  0.001394
..iler.py:347 Compiler.compile_extra  6/1    0.000078  1.489540  0.248257
...py:410 Compiler._compile_bytecode  6/1    0.000035  1.487929  0.247988
..iler.py:370 Compiler._compile_core  6/1    0.000095  1.487920  0.247987
..r_machinery.py:316 PassManager.run  6/1    0.000678  1.486739  0.247790
..r_lock.py:32 _acquire_compile_lock  132..  0.000579  1.486399  0.011261
..hinery.py:257 PassManager._runPass  132..  0.002837  1.485379  0.011253
..re/compiler_machinery.py:261 check  396..  0.000862  1.481452  0.003741
..y:352 BSpline._ensure_c_contiguous  175..  1.380081  1.380081  0.000001
..b/cbook/deprecation.py:439 wrapper  6      0.000060  1.218297  0.203049
..lotlib/pyplot.py:1489 tight_layout  2      0.000009  1.213345  0.606673
..figure.py:2568 Figure.tight_layout  2      0.000065  1.213166  0.606583
..out.py:212 get_tight_layout_figure  2      0.000066  1.209663  0.604831
..yout.py:19 auto_adjust_subplotpars  2      0.000175  1.208693  0.604347
...py:4095 AxesSubplot.get_tightbbox  3      0.000409  1.206917  0.402306
